00001,Smith,John,M,1985-02-20,2010-05-11,
00003,Smith,Jane,F,1990-05-16,2010-05-11,
00005,King,Don,M,1986-02-14,2010-06-23,
00007,Jenskin,Floyd,M,1990-02-20,2010-05-30,
00009,Cerudo,Bambie,F,1983-06-23,2010-05-30,
00011,Davis,Tom,M,1989-12-16,2010-06-30,
00013,Morris,Olive,F,1991-07-21,2010-06-30,
00015,Zulueta,Maggie,F,1990-08-03,2010-07-05,2011-03-30
00017,Celestino,Nelia,F,1984-10-24,2010-07-05,
00019,Esperanza,Nehemiah,M,1982-02-21,2010-07-05,2014-04-28
00021,Manchester,Chelie,F,1988-12-07,2010-07-05,
00023,Kline,Nicholas,M,1992-01-21,2010-07-05,2010-12-23
00025,Macapagal,Ivy,F,1992-04-30,2010-07-05,
00027,Blanche,Ernest,M,1986-12-21,2010-07-05,
00029,Chua,Evangeline,F,1989-03-10,2010-07-05,
00031,Lancaster,Greta,F,1987-08-17,2010-07-05,
00033,Parks,Nigel,M,1993-06-23,2010-07-05,
00035,Carlston,Voltaire,F,1985-06-12,2010-07-21,
00037,Silva,Yves,M,1988-09-21,2010-07-21,
00039,Geisert,William,M,1980-03-03,2010-07-21,
00041,Darwin,Helena,F,1978-11-08,2010-09-01,
00043,Love,Queen,F,1983-11-29,2010-09-01,
00045,Raven,Danny,M,1984-02-15,2010-12-03,
00047,Devito,Clint,M,1981-06-07,2010-12-03,
00049,Irving,Nancy,F,1987-09-19,2010-12-03,
00051,Baltimore,Fergie,F,1986-10-10,2011-01-05,
00053,Jones,Veronica,F,1983-05-01,2011-01-05,2011-03-30
00055,Travis,Ursula,F,1987-06-07,2011-01-05,
00057,Orleans,Sylvia,F,1987-01-28,2011-01-05,
00059,Sy,Alice,F,1984-08-13,2011-01-05,2011-04-20
00061,De Leon,Girlie,F,1983-07-27,2011-01-05,
00063,Grant,Albert,M,1979-05-05,2011-01-05,
